,,Undergraduate Terms Offered - ACCT-ENVR,,,,
,X-Offered AY-Offered in alternating years AN-Offered as needed VAR-Offered varying by year,,,,,
"If there is no specific term listed for a course, contact your advisor or the department offering the course.",,,,,,
College,Course,Title,Fall,Winter,Spring,Summer
B,ACCT 115,Fin Accounting Foundations,X,X,X,X
B,ACCT 116,Managrl Acctg Foundations,X,X,X,X
B,ACCT 120,Accounting for New Ventures,,,,X
B,ACCT 321,Financial Reporting I,X,X,X,X
B,ACCT 322,Financial Reporting II,X,X,X,X
B,ACCT 323,Financial Reporting III,,,X,
B,ACCT 331,Cost Accounting,X,X,X,
B,ACCT 336,Intro Interntl Accounting,,,X,
B,ACCT 341,Principles of Auditing,X,X,X,X
B,ACCT 352,Accounting Information Systems,X,X,X,X
B,ACCT 355,Forensic Accounting,X,,,
E,AE 220,Introduction to HVAC,,X,,X
E,AE 340,Arch Illum & Elect Sys,X,,X,
E,AE 380,Special Tops Arch Engr,,X,,
E,AE 390,Arch Engr Design I,X,,X,
E,AE 391,Arch Engr Design II,,X,,X
E,AE 430,Control Systems for HVAC,,,X,
AS,AFAS 101,Intro to Africana Studies,X,X,X,X
AS,AFAS 201,Cross Currents in AFAS,X,,X,
AS,AFAS 250,African American Herstories,,X,,
AS,AFAS 295,Special Topics in AFAS,,X,,
AS,AFAS 301*,Politics of Hip Hop,,,,
AS,AFAS 310*,"Women, Crime, & History",,,,
AS,AFAS 385*,"Rum, Rice & Revolution",,,,
AS,AFAS 401*,Urban Social Just Prac I,,,,
AS,AFAS 402*,Urban Social Just Prac II,,,,
NH,ANAT 101,Anatomy & Physiology I,X,X,,
NH,ANAT 102,Anatomy & Physiology II,,X,X,
NH,ANAT 103,Anatomy & Physiology III,,,X,X
NH,ANAT 202,Sectional Anatomy,X,X,,X
NH,ANAT 420,Advanced Anatomy I,X,,X,
NH,ANAT 421,Advanced Anatomy II,,X,,X
AS,ANTH 101,Cult Divers: Intro Cult Anthro,X,X,X,X
AS,ANTH 110,Hum Past: Anth/Prehis Arc,X,X,X,X
AS,ANTH 120*,Bib Archaeology Isrl/Jord,,,,
,,,,,,
AS,ANTH 210*,Worldview: Sci/Rel/Magic,,,,
AS,ANTH 212,Topics in World Ethnography,X,,X,AY
AS,ANTH 215,Anthropology of Gender,X,,,
AS,ANTH 220,Age In Cross-Cult Perspec,AY,,AY,
AS,ANTH 255,Psychological Anthropology,,X,,
AS,ANTH 310,Soc In Tran: Mdrn & 3 Wld,X,,,X
AS,ANTH 312,Appr Intercultural Behvr,,X,,X
AS,ANTH 330,Media Anthropology,AY,,,AY
AS,ANTH 355,Anthropology of Cyberspace,,AY,,
AS,ANTH 360,Culture and the Environment,X,,,
AS,ANTH 363,Sacred Traditions of the East,,X,,
AS,ANTH 365,Family and Kinship,,,X,
AS,ANTH 370,Ethnographic Methods,,,X,
AS,ANTH 390,Seminar in Ethnography,,,X,
AS,ANTH 410,Cultural Theory,,AY,AY,
AS,ARBC 101,Arabic I,X,X,X,X
AS,ARBC 102,Arabic II,X,X,X,X
AS,ARBC 103,Arabic III,X,X,X,X
AS,ARBC 201,Arabic IV,X,X,X,X
AS,ARBC 202,Arabic V,X,X,X,X
AS,ARBC 203,Arabic VI,X,X,X,X
AS,ARBC 301,Arabic VII,X,X,X,X
AS,ARBC 302,Arabic VIII,X,X,X,X
AS,ARBC 303,Arabic IX,X,X,X,X
AS,ARBC 411,Intro to Arabic Stylistics,X,,X,
AS,ARBC 471,Arabic Civilization,,X,,
AS,ARBC 480,Arabic Minor Thesis Course,AN,AN,AN,AN
A,ARCH 101,Studio 1-A,X,,,
A,ARCH 102,Studio 1-B,,X,,
A,ARCH 103,Studio 2-A,,,X,
A,ARCH 104,Studio 2-B,X,,,
A,ARCH 105,Studio 3-A,,X,,
A,ARCH 106,Studio 3-B,,,X,
A,ARCH 111,Studio 1-1,X,X,,
A,ARCH 112,Studio 1-2,,X,X,
A,ARCH 113,Studio 1-3,,,X,X
A,ARCH 121,Studio 2-1,X,,,
A,ARCH 122,Studio 2-2,,X,,
A,ARCH 123,Studio 2-3,,,X,
A,ARCH 141,Architecture and Society I,X,,X,
A,ARCH 142,Architecture and Society II,,X,,X
,,,,,,
A,ARCH 143,Architecture and Society III,X,,X,
A,ARCH 150,Intro To CADD I,,,,X
A,ARCH 151,Architectural Drawing I,X,,,
A,ARCH 152,Architectural Drawing II,,X,X,
A,ARCH 153,Intro to CADD II,,X,,X
A,ARCH 155,Basic Architectural Drawing,X,X,,
A,ARCH 156,Graphic Communications I,,X,X,X
A,ARCH 161,Architectural Construction,X,,X,
A,ARCH 191,Studio 1-1,,X,,X
A,ARCH 192,Studio 1-2,X,,X,
A,ARCH 231,Studio 3-1,X,,,
A,ARCH 232,Studio 3-2,,X,,
A,ARCH 233,Studio 3-3,,,X,
A,ARCH 241,Studio 4-1,X,,,
A,ARCH 242,Studio 4-2,,X,,
A,ARCH 243,Studio 4-3,,,X,
A,ARCH 261,Environmental Systems I,X,,,
A,ARCH 262,Environmental Systems II,,X,X,
A,ARCH 263,Environmental Systems III,,,X,
A,ARCH 321,General Lecture Series I,X,,,
A,ARCH 322,General Lecture Series II,,X,,
A,ARCH 336*,Professional Practice II,,,,
A,ARCH 341,Theories of Architecture I,X,,,
A,ARCH 342,Theories of Architecture II,,X,,
A,ARCH 343,Theories of Architecture III,,,X,
A,ARCH 344,History of Modern Movement I,X,,,
A,ARCH 345,History of Modern Movement II,,X,,
A,ARCH 346,History Philadelphia Arch,,,,X
A,ARCH 347,Summer Study Tour Abroad,,,,X
A,ARCH 348,Studies in Vernacular Arch,,,X,
A,ARCH 351,Studio 5-1,X,,,
A,ARCH 352,Studio 5-2,,X,,
A,ARCH 353,Studio 5-3,,,X,
A,ARCH 361,Studio 6-1,X,,,
A,ARCH 362,Studio 6-2,,X,,
A,ARCH 363,Studio 6-3,,,X,
A,ARCH 421,Enviro Psych & Desgn Thry,,,,X
A,ARCH 431,Architectural Programming,,,X,X
A,ARCH 432,The Development Process,,,X,
A,ARCH 435,Management Seminar I,X,,,
A,ARCH 436,Management Seminar II,,X,,
,,,,,,
A,ARCH 441,Urban Design Seminar I,X,,,
A,ARCH 442,Urban Design Seminar II,,X,,
A,ARCH 451,Advanced Drawing,,,X,
A,ARCH 455*,Comp Appls Arch I,,,,
A,ARCH 463,Emerging Architectural Tech,,,,X
A,ARCH 464,Building Enclosure Design,,,,X
A,ARCH 465,Energy and Architecture,,,,X
A,ARCH 496,Thesis I,X,,,
A,ARCH 497,Thesis II,,X,,
A,ARCH 498,Thesis III,,,X,
A,ARTH 101,Hist/Art: Ancient-Medieval,X,X,,X
A,ARTH 102,Hist/Art: High Ren-Modern,X,X,X,X
A,ARTH 103,Hist Art- Erly/Late Modrn,X,,X,X
A,ARTH 300,History of Modern Design,X,X,X,X
A,ARTH 301,Asian Art and Culture,X,,X,
A,ARTH 302,Art of India,,X,,
A,ARTH 303,Art of China,,X,,
A,ARTH 304,Art of Japan,,,X,
A,ARTH 335,Hist Costume: Precl-Directoire,X,,X,
A,ARTH 336,Hist Cstm-Directoire/Wwi,,X,,X
A,ARTH 337,Hst Cstm: Post WWI/Pres,X,,,
AS,AS-A 351,Study Abroad Lit/Civ/Arts,X,X,X,X
AS,AS-A 352,Study Abroad-Psyc/Socio,X,X,X,X
AS,AS-A 353,Study Abroad-Hist/P Sci,X,X,X,X
AS,AS-A 354,Study Abroad-Euro Union,X,X,X,X
AS,AS-I 180*,Interdiscip St Arts/Sci,,,,
AS,AS-I 265*,Spec Interdis St Arts/Sci,,,,
NH,BACS 100,Life-Span Human Development,X,X,,
NH,BACS 200,Found of Behavioral Hlth Care,X,,,
NH,BACS 210,Behavioral Disorders,X,X,,
NH,BACS 220,Counseling Theory and Practice,X,,,
NH,BACS 230,Genetics and Mental Health,,X,,
NH,BACS 232,Ethics and Prof Responsibility,,X,X,
NH,BACS 234,Intro to Addictive Disorders,X,X,X,
NH,BACS 236,Psychiatric Rehab Princ/Pract,X,,X,
NH,BACS 255,Multicultural Counseling,,X,X,
NH,BACS 301,Group Counseling I,X,,,X
NH,BACS 304,Cogn-Behavioral Counseling I,X,,,
NH,BACS 310,Recovery/Relapse Prevention,,X,,
NH,BACS 312,Case Management Methods,X,,X,
NH,BACS 320,Crisis and Brief Intervention,X,,,
,,,,,,
NH,BACS 325,Psychopharmacology for Counsel,,X,X,
NH,BACS 350,Child Psychopathology,X,,X,
NH,BACS 360,Preventing Substance Abuse,,,X,X
NH,BACS 367,Adv Counseling Intervention,X,,X,X
NH,BACS 368,Addictions Counsel w/ Spec Pop,,X,,
NH,BACS 370,Problem Gambling Interventions,X,,X,X
NH,BACS 401,Assessment/Treatment Planning,,,X,X
NH,BACS 404,Cogn-Behavioral Counseling II,X,X,,
NH,BACS 405,Family-Focused Interventions,,X,X,
NH,BACS 410,Child and Adolescent Support,,,X,X
NH,BACS 411,Forensic Behavior Hlth Service,,X,X,
NH,BACS 412,Group Counseling II,,X,,X
NH,BACS 414,Co-Occurring Disorders,,,X,X
NH,BACS 420,Psychiatric Rehab Competencies,,X,X,
NH,BACS 490,Senior Research Project,,X,X,X
NH,BACS 499,Readings in Behavioral Health,X,X,X,X
G,BET 301*,Healthcare Technology,,,,
G,BET 302*,Biomedical Electronics,,,,
G,BET 303*,Medical Imaging Systems,,,,
G,BET 305*,Clinical Laboratory Equipment,,,,
AS,BIO 100,"App Cells, Genetics & Phys",X,,X,
AS,BIO 101,"App Bio Diversity, Eco & Evol",,X,,X
AS,BIO 106,Bio III: Organismal Bio,,,X,
AS,BIO 107,"Cells, Genetics & Physiology",X,,X,
AS,BIO 108,"Cells, Genetics & Phys Lab",X,,X,
AS,BIO 109,"Bio Diversity, Eco & Evol",,X,,X
AS,BIO 110,"Bio Diversity, Eco & Evol Lab",,X,,X
AS,BIO 118,Basics of Cancer,X,,,X
AS,BIO 122,Cells and Genetics,X,,X,
AS,BIO 124,Evolution & Organismal Div,,X,,
AS,BIO 126,Physiology and Ecology,,,X,
AS,BIO 141,Essential Biology,,,X,X
AS,BIO 161,General Biology I,X,,,
AS,BIO 162,General Biology II,,X,,
AS,BIO 163,General Biology III,,,X,
AS,BIO 164*,General Biology Lab I,,,,
AS,BIO 165*,General Biology Lab II,,,,
AS,BIO 166*,General Biology Lab III,,,,
AS,BIO 201,Human Physiology I,X,,X,
AS,BIO 202,Human Physiology Laboratory,X,X,X,X
AS,BIO 203,Human Physiology II,,X,,X
,,,,,,
AS,BIO 212,Biotechnology,,,X,
AS,BIO 214,Principles of Cell Biology,X,,X,
AS,BIO 215,Techniques in Cell Biology,,X,,X
AS,BIO 217,Evolution,X,,X,
AS,BIO 218,Principles of Molecular Bio,,X,,X
AS,BIO 219,Techniques in Molecular Bio,X,X,X,X
AS,BIO 220,Essential Microbiology,X,X,,X
AS,BIO 221,Microbiology,X,X,,X
AS,BIO 222,Microbiology Laboratory,X,X,,X
AS,BIO 223,Parasitology,,X,,
AS,BIO 224,"Form, Function & Evol of Verts",,X,X,X
AS,BIO 225,Vertebrate Bio & Evolution Lab,,X,X,X
AS,BIO 226,Microbiology for Health Prof'l,X,,X,X
AS,BIO 231,Cell Physiology,,,,
AS,BIO 244,Genetics I,,X,,X
AS,BIO 254,Invertebrate Morph & Phys,,X,,X
AS,BIO 255,Invertebrate Morph & Phy Lab,,X,,X
AS,BIO 256,Vertebrate Morph & Phys,X,,,
AS,BIO 264,Ethnobotany,,,AY,
AS,BIO 270,Development Biology,X,,X,
AS,BIO 271,Developmental Biology Lab,X,,X,
AS,BIO 284*,Biology of Stress,,,,
AS,BIO 306,Biochemistry Laboratory,X,X,X,X
AS,BIO 310*,Comparative Physiology,,,,
AS,BIO 311,Metabolism,X,,X,
AS,BIO 312,Genetically Modified Foods,,,,X
AS,BIO 313*,Comparative Physiology Lab,,,,
AS,BIO 314,Pharmacology,,X,,X
AS,BIO 318,Biology of Cancer,X,,X,
AS,BIO 320,Microbial Pathogenesis,,,X,
AS,BIO 331,Bioinfomatics I,X,,,
AS,BIO 332,Bioinformatics II,,X,,
AS,BIO 333,Bioinformatics Laboratory,X,,,
AS,BIO 346,Stem Cell Research,,AY,,
AS,BIO 368,Embryology,,,,X
AS,BIO 370,Teratology,,,X,
AS,BIO 386,Gross Anatomy,,X,,X
AS,BIO 387,Gross Anatomy Lab,,X,,X
AS,BIO 404,Struct/Funct of Biomolecules,X,,,
AS,BIO 412,Biology of Aging,AY,,AY,
AS,BIO 413,Genomics,AY,,,
,,,,,,
AS,BIO 415,Proteins,,,X,
AS,BIO 420,Virology,,,X,
AS,BIO 421,Biomembranes,,X,,
AS,BIO 426,Immunology,X,,,
AS,BIO 427*,Immunology Lab,,,,
AS,BIO 430,Cell Biology of Disease,,,,X
AS,BIO 433,Advanced Cell Biology,,X,,
AS,BIO 434,Advanced Cell Biology Lab,,X,,
AS,BIO 435,ImmunoBio of Disease,,X,,
