,,Undergraduate Terms Offered - FASH-LIT,,,,
,X-Offered AY-Offered in alternating years AN-Offered as needed VAR-Offered varying by year,,,,,
"If there is no specific term listed for a course, contact your advisor or the department offering the course.",,,,,,
College,Course,Title,Fall,Winter,Spring,Summer
A,FASH 201,Survey of the Fashion Industry,X,,,
A,FASH 210,Presentation Techniques in FD,X,,X,
A,FASH 211,Fashion Drawing I,X,,,
A,FASH 212,Fashion Drawing II,,X,X,
A,FASH 220,Textile Design,X,X,,
A,FASH 230,Textiles for Fashion Design,,X,X,
A,FASH 241,Construction Skills,X,X,,
A,FASH 251,Fashion Design I,,X,X,
A,FASH 252,Fashion Design II,,,X,X
A,FASH 313,Fashion Drawing for Industry,,,X,X
A,FASH 314,Fashion Presentation Drawing,,X,,X
A,FASH 315,CAD Patternmaking,X,X,X,
A,FASH 316,CAD for Fashion Design,,X,,
A,FASH 317,Technical Design,,X,X,
A,FASH 341,Flat Pattern Design,,X,X,
A,FASH 342,Draping Design,X,,,
A,FASH 343,Tailoring and Design,X,,X,
A,FASH 351,Fashion Design III,,X,,X
A,FASH 352,Fashion Design IV,X,,,
A,FASH 450,Machine Knitting,X,X,X,
A,FASH 451,Accessory Design,,,,X
A,FASH 452,Millinery Design,,,X,
A,FASH 464,Professional Portfolio,X,,,
A,FASH 466,Business of Fashion,X,,,
A,FASH 467,Style and the Media,,,X,
A,FASH 491,Sr Problem Fash Design I,,X,,
A,FASH 492,Senior Prob Fash Desgn II,,,X,
G,FDSC 154,"Foods: Comp, Inter & Form",X,,X,
G,FDSC 270,Micro Food Safety & Sanitation,,X,,
G,FDSC 350,Exp Foods: Product Development,X,,,
G,FDSC 450,Food Microbiology,X,,,
G,FDSC 451,Food Microbiology Laboratory,X,,,
G,FDSC 454,Micro & Chem of Food Safety,AN,,,
G,FDSC 456,Food Preservation Processes,,AN,,
G,FDSC 460,Food Chemistry,,X,,
,,,,,,
G,FDSC 461,Food Analysis,,AN,,
G,FDSC 468,Functional Foods,,X,,
G,FDSC 490,Seminar in Food Science,,,X,
G,FDSC 491,Senior Project I,,X,,
G,FDSC 492,Senior Project II,,,X,
B,FIN 301,Introduction to Finance,X,X,X,X
B,FIN 302,Intermediate Corporate Finance,X,X,X,X
B,FIN 321,Invest Securities & Markt,X,X,X,
B,FIN 323,Risk Management,X,X,,
B,FIN 325,Fin Institutions and Markets,X,X,X,X
B,FIN 330,Derivative Securities,,,X,
B,FIN 332,Investment Analysis,,X,X,
B,FIN 335,Entrepreneurial Finance,,X,,X
B,FIN 338,Money and Capital Markets,X,X,X,X
B,FIN 340,Seminar in Finance,X,X,X,
B,FIN 341,Applied Portfolio Management,X,X,X,
B,FIN 342*,Advanced Portfolio Management,,,,
B,FIN 346,Global Financial Mgmt,,X,,
B,FIN 350,Personal Finance,X,X,X,X
A,FMST 150,American Classic Cinema,X,X,X,X
A,FMST 160,European Cinema,,X,,
A,FMST 245,Non-Western Cinema,,,X,
A,FMST 250,The Documentary Tradition,X,,,
A,FMST 255,Hitchcock,,,X,
A,FMST 260,The Western,,,X,
A,FMST 262,Film Comedy,,X,,X
A,FMST 263,Rock - N - Roll Cinema,AN,,AN,
A,FMST 340*,French New Wave,,,,
A,FMST 345*,Italian Neo Realism,,,,
A,FMST 352,The Horror Film,,,,X
A,FMST 355,Contemporary Cinema,X,,,X
A,FMVD 110,Basic Shooting and Lighting,X,X,X,X
A,FMVD 115,Basic Editing,X,X,X,
A,FMVD 120,Basic Sound,X,X,X,
A,FMVD 200,Acting for the Screen,X,X,X,X
A,FMVD 202,Directing for the Screen,X,X,X,X
A,FMVD 205,Professions in Film and Video,X,,,
A,FMVD 206,Audio Production and Post,,X,,X
A,FMVD 210,Documentary Video Production,X,X,X,X
A,FMVD 215,Narrative Video Production,X,,X,X
A,FMVD 220,Experimental Video Production,X,,X,
,,,,,,
A,FMVD 230,Basic Filmmaking,X,X,X,
A,FMVD 235,Intermediate Lighting,X,X,X,X
A,FMVD 237,Intermediate Editing,,X,,
A,FMVD 264,Russian Cinema,,AN,,
A,FMVD 286,Producing for Features,X,,,
A,FMVD 290,Cutting Trailers,,X,X,
A,FMVD 291,Film and Video Internship,X,X,X,
A,FMVD 305,Special Effects Make-up,,,X,
A,FMVD 310,Camera Operators Workshop,X,,X,
A,FMVD 315,Audio Post Production,,,,X
A,FMVD 320,Steadicam Workshop,,X,,
A,FMVD 322,Production Workshop I,X,,X,
A,FMVD 323,Production Workshop II,,X,,X
A,FMVD 325,Stop Motion Animation,,,X,
A,FMVD 327*,Advanced Lighting,,,,
A,FMVD 332,Advanced Film,,X,,X
A,FMVD 335*,The 16mm Film Project,,,,
A,FMVD 341*,Creating Credits and Opticals,,,,
A,FMVD 344*,Music Video Production,,,,
A,FMVD 360,The Art of Television,,,X,
A,FMVD 400,Advanced Directing,,X,,
A,FMVD 420*,Advanced Audio Post-Production,,,,
A,FMVD 430,Advanced Cinematography,,,X,
A,FMVD 465,Special Topics in Film & Video,AN,AN,AN,AN
A,FMVD 495,Senior Project in Film & Video,X,X,X,
AS,FREN 101,French I,X,X,X,X
AS,FREN 102,French II,X,X,X,X
AS,FREN 103,French III,X,X,X,X
AS,FREN 201,French IV,X,X,X,X
AS,FREN 202,French V,X,X,X,X
AS,FREN 203,French VI: Convers & Comp,X,X,X,X
AS,FREN 311,Intro French Stylistics,X,X,X,X
AS,FREN 312,French Stylistics,X,X,X,X
AS,FREN 332,Studies in French Literature,,,,X
AS,FREN 333,Advanced French Literature,X,,,
AS,FREN 351,Intro Bus & Prof French,,X,,
AS,FREN 371,Spec St French Civ & Cult,,,X,
AS,FREN 411,Spec St Adv French Stylis,,X,,
AS,FREN 431,Spec St Adv French Lit,,,X,
AS,FREN 451*,Sp St Adv Bus/Prof French,,,,
AS,FREN 471,Sp St French Civilization,X,,,
,,,,,,
AS,FREN 480,French Minor Thesis Course,AN,AN,AN,AN
AS,GER 101,German I,X,X,X,X
AS,GER 102,German II,X,X,X,X
AS,GER 103,German III,X,X,X,X
AS,GER 201,German IV,X,X,X,X
AS,GER 202,German V,X,X,X,X
AS,GER 203,German VI: Convers & Comp,X,X,X,X
AS,GER 311,Intro German Stylistics,X,X,X,X
AS,GER 312,German Stylistics,X,X,X,X
AS,GER 332,Studies in German Literature,,,,X
AS,GER 333,Advanced German Literature,X,,,
AS,GER 351,Intro Bus & Prof German,,X,,
AS,GER 371,Spec St German Civ & Cult,,,X,
AS,GER 411,Spec St Adv German Stylis,,X,,
AS,GER 431,Spec St Adv German Lit,,,X,
AS,GER 451*,Sp St Adv Bus/Prof German,,,,
AS,GER 471,Sp St German Civilization,X,,,
AS,GER 480,German Minor Thesis Course,AN,AN,AN,AN
AS,GREC 101,Modern Elementary Greek I,,X,X,
AS,GREC 102,Modern Elementary Greek II,X,,,
AS,GREC 103,Modern Elementary Greek III,,X,,
AS,GREC 212,Introduction to Greek Folklore,,,X,
AS,GREC 225,Intro to Greek Music & Dance,,,X,
G,GSTD 111*,Learning Skills & Strategies,,,,
G,GSTD 150,Intro to World Religions,X,X,X,
G,GSTD 210*,Fact & Fiction in Film,,,,
G,GSTD 400*,Practicum,,,,
G,GSTD 491*,Senior Proj in General Studies,,,,
AS,HBRW 101,Introduction to Hebrew I,X,X,X,
AS,HBRW 102,Introduction to Hebrew II,X,X,X,
AS,HBRW 103,Introduction to Hebrew III,X,X,X,
AS,HIST 141,Europe & the Modern World II,,,,
AS,HIST 161,Themes World Civilization I,X,,,X
AS,HIST 162,Themes World Civilization II,X,X,,X
AS,HIST 163,Themes World Civilization III,,X,X,
AS,HIST 201,US History to 1815,X,,X,X
AS,HIST 202,"US History, 1815-1900",,X,,X
AS,HIST 203,US History since 1900,X,X,X,X
AS,HIST 212*,Themes African-Ameri Hist,,,,
AS,HIST 214*,US Civil Rights Movement,,,,
AS,HIST 215*,American Slavery,,,,
,,,,,,
AS,HIST 216*,Freedom in America,,,,
AS,HIST 218*,Race and Film in US History,,,,
AS,HIST 220,History of American Business,,,X,
AS,HIST 222*,Hist Work & Workers in America,,,,
AS,HIST 223,Women and Work in America,,,,
AS,HIST 231,US Military Hist II since1900,,,X,
AS,HIST 234,US Civil War,,,X,
AS,HIST 235,"The Great War, 1914-1918",X,,,X
AS,HIST 236,World War II,,,X,X
AS,HIST 238*,The Vietnam War,,,,
AS,HIST 243,Germany & World of Hitler,X,,,
AS,HIST 244,20th- century Russia & USSR,,,X,
AS,HIST 245*,"England to Elizabeth, to 1558",,,,
AS,HIST 246*,"England Eliz/Wtrloo,1558-1815",,,,
AS,HIST 247*,"Modern England, 1815 - present",,,,
AS,HIST 249,Modern Jewish History,,X,,
AS,HIST 250,"Euro Rev Ideology, 1815-1914",,X,,
AS,HIST 251*,Fascism,,,,
AS,HIST 252,"Europe between Wars, 1919-1939",,,X,
AS,HIST 253*,Jewish Life & Cult in Mid Ages,,,,
AS,HIST 258*,"Hist of Europe,19th Century",,,,
AS,HIST 259,"Hist of Europe, 20th Century",,,X,
