E,MATE 100,Materials for Emerging Tech,X,,X,
E,MATE 101,Fundamentals of Materials,,X,,
E,MATE 214,Introduction to Polymers,X,,,
E,MATE 221,Intro Mech Behavior of Mate,,X,,
E,MATE 240,Thermodynamics of Materials,X,,,
E,MATE 245,Kinetics of Materials,,X,,
E,MATE 280,Advanced Materials Laboratory,X,,,
E,MATE 315,Processing Polymers,,X,,
E,MATE 341,Defects in Solids,,X,,
E,MATE 345,Processing of Ceramics,,X,,
E,MATE 355,Struct & Charact of Cryst Mat,X,,,
E,MATE 366,Processing Metallic Materials,X,,,
E,MATE 370,Mechanical Behavior of Solids,X,,,
E,MATE 410,Case Studies in Materials,,,X,
E,MATE 455,Biomedical Materials,X,,,
E,MATE 460,Engr Computational Lab,X,,,
E,MATE 491,Senior Project Design I,X,,,
E,MATE 492,Senior Project Design II,,X,,
E,MATE 493,Senior Project Design III,,,X,
AS,MATH 100,Fundamentals of Mathematics,X,X,,
AS,MATH 101,Introduction to Analysis I,X,X,X,X
AS,MATH 102,Introduction to Analysis II,X,X,X,X
AS,MATH 107,Prob & Stat for Lib Arts,X,,X,
AS,MATH 110,Precalculus,X,X,,
AS,MATH 119,Mathematics For Design,,,X,
AS,MATH 121,Calculus I,X,X,X,
AS,MATH 122,Calculus II,X,X,X,X
AS,MATH 123,Calculus III,X,X,X,X
AS,MATH 180,Discrete Computat Struct,,X,X,
AS,MATH 181,Mathematical Analysis I,X,X,X,X
AS,MATH 182,Mathematical Analysis II,X,X,X,X
AS,MATH 183,Mathematical Analysis III,X,X,X,X
AS,MATH 200,Multivariate Calculus,X,X,X,X
AS,MATH 201,Linear Algebra,X,X,X,X
AS,MATH 205*,Survey of Geometry,,,,
AS,MATH 210,Differential Equations,X,X,,
AS,MATH 220,Intro to Math Reasoning,X,,X,
AS,MATH 221,Discrete Mathematics,X,X,X,X
AS,MATH 235,Problem Solving Seminar,X,,,
AS,MATH 238,History of Mathematics,X,,X,
AS,MATH 239,Math for the Life Sciences,,X,X,
AS,MATH 261,Linear Algebra,X,X,X,X
AS,MATH 262,Differential Equations,X,X,X,X
AS,MATH 285,Differential Equations II,,,X,
AS,MATH 286*,Applied Differential Equations,,,,
AS,MATH 291,Complex & Vector Analy for Eng,,X,,X
AS,MATH 300,Numerical Analysis,X,,X,
AS,MATH 301,Numerical Analysis II,,X,,X
AS,MATH 305,Intro Optimization Theory,AY,,AY,
AS,MATH 311,Probability and Statistics I,X,X,X,
AS,MATH 312,Probability and Statistics II,,X,X,X
AS,MATH 316,Math App of Symbolic Software,X,,,
AS,MATH 318,Math App of Stat Software,,X,,
AS,MATH 320*,Actuarial Mathematics,,,,
AS,MATH 321,Vector Calculus,,X,,
AS,MATH 322,Complex Variables,X,,X,
AS,MATH 323,Partial Differential Equations,,X,,
AS,MATH 331,Abstract Algebra I,X,,,
AS,MATH 332,Abstract Algebra II,,X,,
AS,MATH 401,Elements of Modern Analysis I,X,,,
AS,MATH 402,Elements of Modern Analysis II,,X,,
AS,MATH 410,Scientific Data Analysis I,X,,X,
AS,MATH 411,Scientific Data Analysis II,,X,,X
AS,MATH 422*,Introduction to Topology,,,,
AS,MATH 449*,Mathematical Finance,,,,
AS,MATH 450,Introduction to Graph Theory,AY,,AY,
AS,MATH 475*,Cryptography,,,,
AS,MATH 480,Spec Topics in Mathematics,AN,AN,AN,AN
AS,MATH 489*,Tensor Analysis,,,,
NH,MBC 101,Med Term for Billers/Coders,X,X,X,X
NH,MBC 201,Medical Billing I,X,X,X,X
NH,MBC 202,Medical Billing II,X,X,X,X
NH,MBC 250,Medical Billing Software,X,X,X,X
NH,MBC 301,Physician-Based Med Coding I,X,X,X,X
NH,MBC 302,Physician-Based Med Coding II,X,X,X,X
NH,MBC 303,Hospital-Based Med Coding I,X,X,X,X
NH,MBC 304,Hospital-Based Med Coding II,X,X,X,X
NH,MBC 350,Physician-Based Chart Auditing,X,X,X,X
NH,MBC 360,Hospital-Based Case Studies,X,X,X,X
E,MEM 201,Funds Cmptr Aided Design,X,X,X,X
E,MEM 202,Engr Mechanics-Statics,X,X,X,X
E,MEM 220,Basic Fluid Mechanics,,X,,X
E,MEM 230,Mechanics of Materials I,X,,X,
E,MEM 238,Dynamics,,X,X,X
E,MEM 255,Introduction to Controls,X,X,,X
E,MEM 310,Thermodynamic Analysis I,X,X,X,
E,MEM 311,Thermal & Fluid Sci Lab,X,,X,
E,MEM 320,Fluid Dynamics I,X,,X,
E,MEM 330,Mechanics of Materials II,,X,,X
E,MEM 331,Experimental Mechanics I,,X,,X
E,MEM 345,Heat Transfer,X,,X,
E,MEM 351,Dynamic Systems Laboratory I,,X,,X
E,MEM 355,Perf Enhancemt Dyn Systems,X,X,X,
E,MEM 361,Engineering Reliability,X,X,,X
E,MEM 395,Hess UG Scholars Research,X,X,X,X
E,MEM 400*,Internal Combustion Engines,,,,
E,MEM 402,Power Plant Design,X,,,
E,MEM 403,Gas Turbines & Jet Propulsion,,X,,
E,MEM 405,Principles of Combustion I,AY,,,
E,MEM 406,Principles of Combustion II,,AY,,
E,MEM 410,Thermodynamic Analysis II,,X,,X
E,MEM 413,HVAC Loads,X,,,
E,MEM 414,HVAC Equipment,,X,,
E,MEM 417,Intro to Microfabrication,,,X,
E,MEM 419,Microfluidics & Lab-on-a-Chip,,,,X
E,MEM 420,Aerodynamics,,,X,
E,MEM 423,Mechanics of Vibration,X,,X,X
E,MEM 424*,Biomechanics,,,,
E,MEM 425,Aircraft Design & Perform,X,,,
E,MEM 426*,Aerospace Structures,,,,
E,MEM 427,Finite Element Methods,X,,,
E,MEM 428,Introduction to Composites I,X,,,
E,MEM 429,Introduction to Composites II,,X,,
E,MEM 430*,Advanced Stress Analysis,,,,
E,MEM 431,Machine Design I,X,,X,
E,MEM 435,Intro Comp Aid Desgn/Mfg,X,,X,
E,MEM 437,Manufacturng Process I,X,,X,
E,MEM 438,Manufacturing Process II,,X,,
E,MEM 440,Thermal Systems Analysis,,X,,X
E,MEM 444,Biofluid Mechanics,,,X,
E,MEM 446,Fundamentals of Plasmas I,,AY,,
E,MEM 447,Fundamentals of Plasmas II,,,AY,
E,MEM 448,Applied Thermal Plasmas,,AY,,
E,MEM 449,Applied Non-Thermal Plasmas,,,AY,
E,MEM 453,Aircrft Flight Dynam & Ctrl I,,,X,
E,MEM 454*,Aircrft Flight Dynam& Ctrl II,,,,
E,MEM 455,Introduction to Robotics,X,,X,
E,MEM 456,Robotics II,,X,,
E,MEM 462,Intro To Engr Mgmt,X,,X,
E,MEM 478*,Computer-Aided Tissue Engr,,,,
E,MEM 491,Senior Design Project I,X,,,
E,MEM 492,Senior Design Project II,,X,,
E,MEM 493,Senior Design Project III,,,X,
G,MET 100,Graphical Communication,,,X,
G,MET 101,Manufacturing Materials,,X,,
G,MET 204,Applied Quality Control,,X,,
G,MET 205,Robotics & Mechatronics,,X,,
G,MET 209,Fluid Power,,X,,
G,MET 213,Applied Mechanics,X,,,
G,MET 301*,Advanced Design Graphics,,,,
G,MET 306*,Zone Technologies,,,,
G,MET 307*,HazMat for Manufacturing,,,,
G,MET 308*,Maritime Manufacturing,,,,
G,MET 310*,Adv Robotics & Mechatronics,,,,
G,MET 316,Computer Numerical Control,X,,,
G,MET 402*,Manufacturing Design with CAD,,,,
G,MET 403*,Three Dimensional Modeling,,,,
G,MET 404*,Digital Instrumentation,,,,
G,MET 407,Manufacturing Processes,,X,,
G,MET 408,MFG Information Management,,,X,
G,MET 409*,Green Manufacturing,,,,
G,MET 411*,Adv Computer Numerical Control,,,,
G,MET 421,Senior Design Project I,X,,,
G,MET 422,Senior Design Project II,,X,,
G,MET 423,Senior Design Project III,,,X,
B,MGMT 260,Intro to Entrepreneurship,X,X,X,X
B,MGMT 363,Dir Study in Entrepreneurship,X,,X,
B,MGMT 364,Technology Management,X,X,X,
B,MGMT 365,Busn Plan for Entrepreneurs,X,X,X,X
B,MGMT 366*,Entrepreneurship Cert Proj,,,,
B,MGMT 450,Strategy & Competitive Advant,X,X,X,X
B,MGMT 451,Management Simulation,X,X,X,X
G,MHT 201*,Kinematics,,,,
G,MHT 205,Thermodynamics I,,X,,
G,MHT 206,Thermodynamics II,,,X,
G,MHT 222,Applied Dynamics I,,X,,
G,MHT 224*,Applied Dynamics II,,,,
G,MHT 226,Measurement Lab,X,,,
G,MHT 301,Fluid Mechanics I,,,X,
G,MHT 314,Thermo and Heat Transfer Lab,,,X,
G,MHT 401,Mechanical Design I,,X,,
G,MHT 405,HVAC,,,,
A,MIP 131,History of the Music Industry,X,,,
A,MIP 133,Computer & Digital Apps I,X,,,
A,MIP 161,Copyrights in the Music Ind,,X,X,
A,MIP 170,Radio Management,,X,,
A,MIP 179,Music Recording I,,X,,
A,MIP 227,Listening Techniques in Music,,X,,
A,MIP 233,Computer & Digital Appl II,,X,,
A,MIP 239,Survey of Modern Pro Tech,,X,,
A,MIP 262,Trademarks & Patents in the MI,,X,X,
A,MIP 263,Media Promotion,,X,,
A,MIP 271,The Recording Industry I,X,,,
A,MIP 272,The Recording Industry II,,,X,
A,MIP 279,Music Recording II,X,X,X,
A,MIP 311,A & R in the Music Industry I,,X,,
A,MIP 312,A & R in the Music Industry II,,,X,
A,MIP 331,Music Venues and Concerts,,X,,
A,MIP 333,Computer & Digital Apps III,,,X,
A,MIP 341,Touring and Booking,,X,,
A,MIP 343,MADKo Concert Promotions,X,X,X,
A,MIP 361,The Publishing Industry,,X,,
A,MIP 363,Legal Issues in the Music Ind,,,X,
A,MIP 374,Entrepreneurship in the MI,,X,,
A,MIP 375,Marketing and Promo in MI,X,,,
A,MIP 377,Digital Label,X,X,X,
A,MIP 379,Music Recording III,X,,,
A,MIP 380,Special Topics in Music Ind,X,X,X,
A,MIP 381,Audio for Video,X,,,
A,MIP 382,Scoring to Picture,,,X,
A,MIP 383,MAD Dragon Studios,X,X,X,
A,MIP 384,Synthesis and Sampling,,X,,
A,MIP 386,Commercial Music Production,,,X,
A,MIP 387,Studio Maintenance & Assisting,,,X,
A,MIP 388,Production Company Management,,,X,
A,MIP 433,Computer & Digital Apps IV,,X,,
A,MIP 440,L&B MAD Dragon,X,X,X,
A,MIP 441,DraKo Booking,,X,,
A,MIP 443,Entertainment Contracts I,,X,,
A,MIP 444,MAD Dragon Records,X,X,X,
A,MIP 445,MAD Dragon Publishing,X,X,X,
A,MIP 453,Entertainment Contracts II,,,X,
A,MIP 462,Global Issues in the Music Ind,X,,,
A,MIP 464,Music Industry Cyberlaw,,,X,
A,MIP 467,Artist Representation,X,,,
A,MIP 468,Music Industry E-Commerce,,X,,
A,MIP 477,Music Production,,X,,
A,MIP 481,Mixing and Mastering,X,,,
A,MIP 482,Recording Session,,,X,
A,MIP 491,Senior Project in Music Ind,X,X,X,
B,MIS 300,Management Information Systems,X,X,X,X
B,MIS 341*,Microcomp Technol for Business,,,,
B,MIS 342,Systems Analysis and Design,X,,X,
B,MIS 343,Dbase Design & Implement,,X,,X
B,MIS 344*,Netwkg Technol For Bus,,,,
B,MIS 345*,Client/Svr Comptg For Bus,,,,
B,MIS 346,MIS Strategy,X,,X,
B,MIS 347,Dom & Global Outsrcing Mgmt,,X,,X
B,MIS 348,VB Database Prog for Busn,X,,X,
B,MIS 359,Information Systems Project,,X,,
B,MKTG 301,Intro Marketing Mgmt,X,X,X,X
B,MKTG 321,Sales Management,X,X,X,X
B,MKTG 322,Adv & Integrated Mktg Comm,X,X,X,X
B,MKTG 324,Mktg Chan & Distrib Sys,X,,,X
B,MKTG 326,Marketing Research,,X,X,
B,MKTG 344,Professional Personal Selling,X,X,X,X
B,MKTG 347,New Product Development,X,X,X,
B,MKTG 348,Services Marketing,X,X,X,X
B,MKTG 351,Mktg For Non-Profit Orgs,,X,,
B,MKTG 352*,Sales Promotion,,,,
B,MKTG 353*,Business-to-Business Marketing,,,,
B,MKTG 355,Interactive Marketing,,X,,X
B,MKTG 356,Consumer Behavior,X,X,X,X
B,MKTG 357,Global Marketing,X,X,X,X
B,MKTG 362,Brand & Reputation Mgmt,,X,X,
B,MKTG 363*,Brand & Reputation Mgmt Proj,,,,
B,MKTG 380,Seminar in Marketing Strategy,X,X,X,
A,MUSC 101,University Chorus,X,X,X,X
A,MUSC 102,Chamber Singers,X,X,X,
A,MUSC 105,Concert Band,X,X,X,X
A,MUSC 106,Guitar Ensembles,X,X,X,X
A,MUSC 107,Jazz Ensembles,X,X,X,X
A,MUSC 109,String Ensembles,X,X,X,
A,MUSC 110,Keyboard Ensembles,X,X,X,
A,MUSC 111,Chamber Music Ensemble,X,X,X,
A,MUSC 112,Fusion Band,X,X,X,
A,MUSC 113,Percussion Ensembles,X,X,X,
A,MUSC 115,Gospel Choir,X,X,X,X
A,MUSC 120,Music Fundamentals,X,X,,
A,MUSC 121,Music Theory I,X,X,X,X
A,MUSC 122,Music Theory II,,X,X,X
A,MUSC 123,Music Theory III,,,,X
A,MUSC 125,Ear Training I,X,X,X,
A,MUSC 126,Ear Training II,,X,X,
A,MUSC 127,Ear Training III,,,X,
A,MUSC 130,Introduction to Music,X,X,X,X
A,MUSC 190,Class Piano I,X,X,X,X
A,MUSC 191,Class Guitar I,X,X,X,X
A,MUSC 192,Class Percussion I,X,,,
A,MUSC 193,Class Voice I,X,,,
A,MUSC 194,Class Bass I,X,X,,
A,MUSC 195,Class Bass II,,,X,
A,MUSC 229,Modern Arranging Techniques,X,X,X,
A,MUSC 231,Music History I,X,,,
A,MUSC 232,Music History II,,X,,
A,MUSC 236,Rock Music Through the Mid-60s,X,,,
A,MUSC 238,Rock Music Since the Mid-60s,,X,X,X
A,MUSC 241,Applied Music,X,X,X,X
A,MUSC 249,Digital Music Composition,X,,,
A,MUSC 252,Music Composition,,,X,
A,MUSC 290,Advanced Class Piano,X,X,X,X
A,MUSC 291,Advanced Class Guitar,,X,X,X
A,MUSC 300,Improvisation,,X,,
A,MUSC 323,Songwriting,,,X,
A,MUSC 331,World Musics,X,X,X,X
A,MUSC 333,Afro-Amer Music USA,,,X,
A,MUSC 336,History of Jazz,X,,,X
A,MUSC 338,American Popular Music,X,,X,
NH,NEUR 410,Neuroscience,,,X,
NH,NFS 100,"Nutrition, Foods, and Health",X,X,X,X
NH,NFS 101,Intro Nutrition & Food,X,X,X,X
NH,NFS 111,Introduction to Dietetics,,,,AY
NH,NFS 200*,Nutr I: Principles Nutrition,,,,
NH,NFS 203*,Nutr II: Nutr In Life Cycle,,,,
NH,NFS 215,Nutritional Chemistry,X,,,
NH,NFS 216*,Nutrition and the Schoolchild,,,,
NH,NFS 217,Nutrient Quality & Composition,X,,,
NH,NFS 220,Normal & Lifespan Nutrition,,X,,X
NH,NFS 230,Intermediate Nutrition,X,,X,
NH,NFS 265,Prof Issues Nutr & Foods,,,X,
NH,NFS 310,Nutrition and Sports,,,X,
NH,NFS 315,Nutrition in Chronic Disease,,,,X
NH,NFS 320,Pediatric Nutrition,,X,,
NH,NFS 325*,Nutrition & Exercise Phys,,,,
NH,NFS 345,Foods Nutr Of World Cultures,,,X,
NH,NFS 365,Nutr Lab: Food/Nutrient Analy,,X,,
NH,NFS 370,Foodservice Systems Mgmt,,,X,
NH,NFS 371*,Institutional Organiz & Admin,,,,
NH,NFS 391,Community Nutrition,X,,,
NH,NFS 415,Adv Nutr I: Macronutrient,X,,,
NH,NFS 416,Adv Nutr II: Micronutr & Ctrl,,X,,
NH,NFS 431,Nutrition Counseling,,X,,
NH,NFS 443,Medical Nutrition Therapy I,X,,,
NH,NFS 444,Medical Nutrition Therapy II,,X,,
NH,NFS 445,Medical Nutrition Therapy III,,,X,
NH,NFS 446,Perspectives World Nutrit,X,,,
NH,NFS 475*,Adv Seminar Dietetcs Prof,,,,
